"","Species","Pump_type","rpm","Control","Class_1","Class_2.1","Class_2.2","Class_2.3","Class_3.1","Class_3.2","Class_3.4","Class_3.5","Class_3.6","Class_4"
"1","bream","F/N","468","control",48,0,0,2,0,0,0,0,0,0
"2","bream","F/N","468","pump",2,1,0,51,14,39,0,10,17,6
"3","bream","F/N","550","control",43,0,0,1,0,0,0,0,0,0
"4","bream","F/N","550","pump",6,0,2,35,13,56,1,13,22,0
"5","eel","F/N","468","control",44,0,0,3,0,0,0,0,0,0
"6","eel","F/N","468","pump",241,0,0,15,0,0,0,0,0,0
"7","eel","F/N","550","control",45,0,1,1,0,0,0,0,0,0
"8","eel","F/N","550","pump",242,0,0,25,0,0,0,0,0,0
"9","roach","F/N","468","control",72,0,1,23,1,2,0,0,1,0
"10","roach","F/N","468","pump",165,3,4,150,30,3,0,16,12,10
"11","roach","F/N","550","control",37,0,1,3,0,0,0,0,0,0
"12","roach","F/N","550","pump",218,6,6,148,37,22,0,29,28,21
