"","Species","Pump_type","rpm","Control","State","Length","Weight","Class_1","Class_2.1","Class_2.2","Class_2.3","Class_3.1","Class_3.2","Class_3.3","Class_3.4","Class_3.5","Class_3.6","Class_3.7","Class_4","number_of_released_fish","number_of_released_fish_per_scenario","Number_Injuries","Injury_type_no","Injury_type_slight","Injury_type_severe","Injury_type_dead","number_recaptured","number_state_binom","percentage_state_test","min_state","max_state"
"1","bream","F/N","468","control","Alive",405.52,1250,48,0,0,2,0,0,0,0,0,0,0,0,50,50,1,48,2,0,0,50,50,100,100,100
"2","bream","F/N","468","control","Dead",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,50,NA,NA,0,0,0,0,50,0,0,0,0
"3","bream","F/N","468","pump","Alive",366.382352941176,940.714973262032,1,0,0,27,0,0,0,0,0,0,0,0,155,155,1,1,27,0,0,97,28,29,17,52
"4","bream","F/N","468","pump","Dead",376.833439045082,902.961379716981,1,1,0,24,14,39,0,0,10,17,0,6,155,155,1.49292452830189,1,6,62,6,97,69,71,48,83
"5","bream","F/N","550","control","Alive",407.431818181818,1257.11363636364,43,0,0,1,0,0,0,0,0,0,0,0,45,45,1,43,1,0,0,44,44,100,100,100
"6","bream","F/N","550","control","Dead",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,45,NA,NA,0,0,0,0,44,0,0,0,0
"7","bream","F/N","550","pump","Alive",361.8,874.466666666667,4,0,2,16,0,0,0,0,0,0,0,0,207,120.666666666667,1.13333333333333,4,16,0,0,109,20,18,14,23
"8","bream","F/N","550","pump","Dead",365.814279018705,792.22675070028,2,0,0,19,13,56,0,1,13,22,0,0,207,120.666666666667,1.42511671335201,2,8,79,0,109,89,82,77,86
"9","eel","F/N","468","control","Alive",639.266666666667,453.622222222222,42,0,0,3,0,0,0,0,0,0,0,0,50,50,1,42,3,0,0,45,45,100,100,100
"10","eel","F/N","468","control","Dead",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,50,NA,NA,0,0,0,0,45,0,0,0,0
"11","eel","F/N","468","pump","Alive",632.760490407683,434.582882139604,230,0,0,15,0,0,0,0,0,0,0,0,300,300,1,230,15,0,0,245,245,100,100,100
"12","eel","F/N","468","pump","Dead",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,300,NA,NA,0,0,0,0,245,0,0,0,0
"13","eel","F/N","550","control","Alive",637.617021276596,435.531914893617,45,0,1,1,0,0,0,0,0,0,0,0,50,50,1,45,2,0,0,47,47,100,100,100
"14","eel","F/N","550","control","Dead",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,50,NA,NA,0,0,0,0,47,0,0,0,0
"15","eel","F/N","550","pump","Alive",630.653284546142,431.852396794857,242,0,0,25,0,0,0,0,0,0,0,0,300,300,1,242,25,0,0,267,267,100,100,100
"16","eel","F/N","550","pump","Dead",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,300,NA,NA,0,0,0,0,267,0,0,0,0
"17","roach","F/N","468","control","Alive",171.380681818182,84.0633522727273,70,0,0,22,0,0,0,0,0,0,0,0,100,100,1,70,22,0,0,95,92,97,94,100
"18","roach","F/N","468","control","Dead",178,93.7,0,0,1,1,1,2,0,0,0,1,0,0,100,100,2,0,0,3,0,95,3,3,0,6
"19","roach","F/N","468","pump","Alive",167.407896717219,78.5927817756631,151,1,1,91,0,0,0,0,0,0,0,0,600,433.333333333333,1,151,93,0,0,342,244,71,64,76
"20","roach","F/N","468","pump","Dead",169.150162337662,79.9920905483405,14,2,3,58,30,3,0,0,16,12,0,10,600,433.333333333333,1.47943722943723,14,36,48,10,342,98,29,24,36
"21","roach","F/N","550","control","Alive",165.414634146341,74.0829268292683,37,0,1,3,0,0,0,0,0,0,0,0,50,50,1,37,4,0,0,41,41,100,100,100
"22","roach","F/N","550","control","Dead",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,50,NA,NA,0,0,0,0,41,0,0,0,0
"23","roach","F/N","550","pump","Alive",167.934841983008,78.3249687067845,207,4,2,85,0,0,0,0,0,0,0,0,600,483.333333333333,1.0080615441312,207,88,0,0,428,295,69,61,76
"24","roach","F/N","550","pump","Dead",168.901948051948,78.855094997595,11,2,4,63,37,22,0,0,29,28,0,21,600,483.333333333333,1.62973785473785,11,43,79,21,428,133,31,24,39
